"","RCAN3","EPS8L3","ACP6","FAM189B","TPR","C4BPA","HHAT","LPGAT1","RPS6KC1","MTR","SLC25A16","PSAP","FRAT2","EIF3A","ZBTB3","NAA40","EHBP1L1","TMEM135","MMP1","CYP27B1","MDM1","SLC35E3","IFT88","UBL3","NAA16","ATP7B","CDC16","GTF2A1","RFX7","PIAS1","CALML4","ABAT","AMFR","RAP1GAP2","KRT12","HOXB5","SPATA20","MBTD1","NAPG","IMPACT","POLI","KDSR","VPS4B","CIRBP","CEACAM7","ZNF226","ZNF587","MZF1","LTBP1","DYNC2LI1","MTIF2","ALMS1","TTC31","TBC1D8","MFSD9","RAB22A","SLC2A11","BAIAP2L2","CBX7","GRAMD4","DENND6B","ROBO1","TFDP2","RSRC1","SEC62","KLHL24","UBXN7","DCAF16","LIAS","GALNT7","DCTD","ANKRA2","RHOBTB3","KIF3A","SMAD5","TRIM52","ATXN1","DDX43","PEX7","GPNMB","KRIT1","KCND2","TMEM209","DDHD2","ERMP1","MLLT3","PLAA","IFT74","UBAP2","XPA","GNL3L","ARHGEF9","APOOL","MBNL3"
"Series1_NHBE_Mock_1",5.43372200355424,0.693147180559945,5.37989735354046,6.29526600143965,7.82923253754359,0,4.60517018598809,6.59030104819669,6.12686918411419,6.41017488196617,4.26267987704132,9.74466765552726,5.01063529409626,9.25560050338105,4.17438726989564,5.76519110278484,7.7397944584087,5.09375020080676,5.82894561761021,4.06044301054642,4.82028156560504,4.56434819146784,4.45434729625351,4.91998092582813,4.18965474202643,5.4553211153577,6.5424719605068,5.64897423816121,6.85540879860993,6.60123011872888,4.82028156560504,6.24610676548156,6.89467003943348,5.90263333340137,0,1.09861228866811,6.12905021006055,5.12989871492307,5.95583736946483,5.59098698051086,4.75359019110636,6.55677835615804,7.9168074909376,6.49072353450251,2.07944154167984,4.969813299576,6.12905021006055,4.56434819146784,6.84054652928869,5.72031177660741,6.78445706263764,5.44241771052179,5.63121178182137,6.10255859461357,4.68213122712422,6.29526600143965,3.73766961828337,0,3.98898404656427,5.57972982598622,3.04452243772342,6.77992190747225,6.45833828334479,6.15060276844628,8.0013550258267,5.62762111369064,6.40191719672719,5.54126354515843,4.69134788222914,7.12044437239249,6.73459165997295,5.77455154554441,6.13122648948314,6.58063913728495,7.12044437239249,4.66343909411207,5.55295958492162,1.38629436111989,4.38202663467388,7.77695440332244,5.80211837537706,0,5.34233425196481,6.65286302935335,7.07665381544395,5.56452040732269,6.42324696353352,4.93447393313069,7.42117752859539,4.48863636973214,6.38687931936265,5.65248918026865,5.14749447681345,4.54329478227
"Series1_NHBE_Mock_2",5.16478597392351,0,5.47646355193151,6.30809844150953,7.71423114484909,0,4.66343909411207,6.39526159811545,6.02344759296103,6.26149168432104,4.40671924726425,9.7238823032364,4.85203026391962,9.0916694422585,3.66356164612965,5.61312810638807,7.63191651307125,5.13579843705026,5.52545293913178,3.49650756146648,4.65396035015752,4.58496747867057,4.4188406077966,5.07517381523383,4.49980967033027,5.4553211153577,6.46302945692067,5.77455154554441,6.91075078796194,6.40522845803084,4.95582705760126,5.8406416573734,6.79794041297493,5.79909265446053,0,0.693147180559945,6.07993319509559,5.19295685089021,5.78074351579233,5.48479693349065,4.82028156560504,6.5191472879404,7.71824095195932,6.45990445437753,0.693147180559945,5.15905529921453,5.98645200528444,4.62497281328427,6.55819780281227,5.56068163101553,6.61740297797448,5.23644196282995,5.54907608489522,6.08221891037645,4.54329478227,6.53233429222235,3.78418963391826,1.38629436111989,3.73766961828337,5.50533153593236,3.46573590279973,6.55819780281227,6.32076829425058,6.01615715969835,7.83636976054512,5.63478960316925,6.24222326545517,5.53733426701854,4.93447393313069,7.09340462586877,6.5424719605068,5.66988092298052,6.15697898558556,6.45833828334479,6.95368421087054,4.61512051684126,5.78689738136671,0.693147180559945,4.20469261939097,7.68294316987829,5.97635090929793,0,5.04985600724954,6.53378883793334,7.1731917424866,5.50533153593236,6.30627528694802,5.18738580584075,7.41397029019044,4.31748811353631,6.30078579466324,5.56068163101553,5.09375020080676,4.57471097850338
"Series1_NHBE_Mock_3",5.82008293035236,0,5.89715386763674,6.5875500148248,8.24485939591126,0,5.03695260241363,7.02286808608264,6.53378883793334,6.87212810133899,4.96284463025991,10.1255104761816,5.29330482472449,9.55251062971203,4.15888308335967,6.24027584517077,8.12207437536222,6.04025471127741,6.27664348934164,4.33073334028633,5.08140436498446,5.03695260241363,5.00394630594546,5.65599181081985,4.97673374242057,5.78689738136671,6.99759598298193,6.44571981938558,7.36960072052641,6.92755790627832,5.33271879326537,6.4085287910595,7.14913159855741,6.3491389913798,0,2.19722457733622,6.34738920965601,5.5834963087817,6.50428817353665,6.1463292576689,5.4971682252932,7.05875815251866,8.18785544369562,6.83733281468559,0.693147180559945,5.65948221575962,6.44094654063292,5.15905529921453,7.0604763659998,5.9427993751267,7.18235211188526,5.82894561761021,5.8406416573734,6.69084227741856,5.29330482472449,7.19067603433221,4.47733681447821,1.79175946922805,4.38202663467388,5.90808293816893,2.99573227355399,7.14991683613211,6.79346613258001,6.52356230614951,8.27486682068525,6.33327962813969,6.83410873881384,5.98645200528444,5.50938833662798,7.72753511047545,6.99668148817654,6.13122648948314,6.78671695060508,7.1800698743028,7.45587668749182,5.23110861685459,6.16541785423142,1.6094379124341,4.86753445045558,7.96519829061218,6.67456139181443,0,5.68017260901707,7.0335064842877,7.80954132465341,6.15909538849193,6.98193467715639,6.15060276844628,7.73280753042202,4.96284463025991,6.7286286130847,5.91350300563827,5.78074351579233,5.24702407216049
"Series1_NHBE_SARS.CoV.2_1",5.16478597392351,0.693147180559945,5.37063802812766,6.34035930372775,7.58426481838906,0,4.24849524204936,6.19847871649231,5.82008293035236,6.18414889093748,4.4188406077966,9.58644532477786,4.75359019110636,9.05986625862135,3.46573590279973,5.53733426701854,7.71423114484909,5.02388052084628,6.21060007702465,4.67282883446191,4.38202663467388,4.36944785246702,4.30406509320417,4.94875989037817,4.02535169073515,5.4380793089232,6.31535800152233,5.52545293913178,6.78558764500793,6.21660610108486,4.9416424226093,5.89440283426485,6.70318811324086,5.9295891433899,0,1.09861228866811,6.13988455222626,4.83628190695148,5.79301360838414,5.42934562895444,4.70048036579242,6.36818718635049,7.61529833982581,6.44413125670044,2.63905732961526,4.76217393479776,5.9295891433899,4.79579054559674,6.54821910276237,5.48479693349065,6.39526159811545,4.99043258677874,5.37989735354046,5.71702770140622,4.83628190695148,6.22851100359118,3.66356164612965,2.07944154167984,3.71357206670431,5.69035945432406,3.43398720448515,6.70318811324086,6.18208490671663,5.82894561761021,7.71199650704767,5.41164605185504,6.09582456243222,5.34233425196481,4.70953020131233,6.91174730025167,6.3491389913798,5.53338948872752,5.89989735358249,6.40191719672719,6.7202201551353,4.66343909411207,5.6937321388027,1.09861228866811,4.36944785246702,7.03966034986208,5.75890177387728,0,5.02388052084628,6.3919171133926,6.98007594056176,5.49306144334055,6.30078579466324,4.85203026391962,7.29776828253138,4.02535169073515,6.19031540585315,5.30330490805908,5.06890420222023,4.39444915467244
"Series1_NHBE_SARS.CoV.2_2",5.04985600724954,0,5.25227342804663,6.15485809401642,7.67786350067821,0,4.30406509320417,6.39359075395063,6.03548143252476,6.289715570909,4.43081679884331,9.47508641314491,4.83628190695148,9.13194630454817,3.71357206670431,5.57972982598622,7.63240112660145,4.79579054559674,6.11809719804135,4.49980967033027,4.68213122712422,4.70953020131233,4.30406509320417,4.85203026391962,4.21950770517611,5.28826703069454,6.36302810354046,5.54126354515843,6.84481547920826,6.40687998606931,4.8283137373023,5.9295891433899,6.70808408385307,5.73657229747919,0,0,5.86929691313377,4.9416424226093,5.8348107370626,5.44241771052179,4.44265125649032,6.40191719672719,7.7510451179718,6.41017488196617,2.39789527279837,5.08759633523238,6.0137151560428,4.57471097850338,6.61204103483309,5.42053499927229,6.5424719605068,4.97673374242057,5.4380793089232,5.79909265446053,4.64439089914137,6.25382881157547,3.71357206670431,0,3.73766961828337,5.41164605185504,2.89037175789616,6.84374994900622,6.28599809450886,6.01615715969835,7.9168074909376,5.48063892334199,5.96100533962327,5.3890717298165,4.93447393313069,6.96413561241824,6.53087762772588,5.44241771052179,5.90536184805457,6.5510803350434,6.74875954749168,4.64439089914137,5.605802066296,1.09861228866811,4.24849524204936,7.12286665859908,5.78382518232974,0,5.11799381241676,6.50578406012823,6.94022246911964,5.42934562895444,6.43615036836943,4.95582705760126,7.32646561384032,4.21950770517611,6.19440539110467,5.44673737166631,4.88280192258637,4.12713438504509
"Series1_NHBE_SARS.CoV.2_3",6.21260609575152,1.38629436111989,6.46458830368996,7.3304052118444,8.68152048483791,0,5.41164605185504,7.35819375273303,6.91869521902047,7.36770857237437,5.31320597904179,10.5016370044738,5.79909265446053,10.1895307828194,4.70953020131233,6.70563909486,8.74432876399998,5.80513496891649,7.24992553671799,5.59471137960184,5.5834963087817,5.33753807970132,5.20948615284142,5.83773044716594,5.40267738187228,6.36302810354046,7.47929963778283,6.53813982376767,7.79069603117474,7.53689712956617,6.00388706710654,7.07326971745971,7.7484600238997,6.99484998583307,0,1.94591014905531,6.9177056098353,6.04973345523196,6.92951677076365,6.45676965557216,5.605802066296,7.33302301438648,8.75699718362355,7.42237370098682,2.63905732961526,6.01126717440416,7.09174211509515,5.54907608489522,7.66105638236183,6.60800062529609,7.54960916515453,6.29156913955832,6.4393503711001,6.92755790627832,5.69035945432406,7.29641326877392,4.91265488573605,1.6094379124341,4.58496747867057,6.35437004079735,3.66356164612965,7.67136092319064,7.32778053842163,7.06390396147207,8.87905466204227,6.42971947803914,7.19218205871325,6.41836493593621,5.79301360838414,7.96970358327866,7.67971363996637,6.55677835615804,6.77308037565554,7.56216163122565,7.78113850984502,5.51342874616498,6.57507584059962,1.38629436111989,5.32300997913841,7.93343838762749,6.7428806357919,0,6.25575004175337,7.59940133341582,7.94413749111411,6.45990445437753,7.46278915741245,5.89164421182577,8.42200300441249,5.03043792139244,7.35308192051543,6.53378883793334,6.06378520868761,5.26269018890489
"Series2_A549_Mock_1",5.7268477475872,4.38202663467388,6.1527326947041,6.64378973314767,8.37885024179449,2.07944154167984,5.17048399503815,8.00936307663004,6.3578422665081,6.9985096422506,5.45958551414416,10.2073997018479,5.55295958492162,9.00393101965314,4.39444915467244,6.76157276880406,7.82043951526218,6.3818160174061,1.09861228866811,4.07753744390572,5.67332326717149,6.06145691892802,5.8348107370626,6.07073772800249,5.50125821054473,5.57972982598622,7.1074254741107,6.24997524225948,6.71659477352098,6.52649485957079,5.80513496891649,2.30258509299405,7.81963630236759,6.57507584059962,1.6094379124341,4.70048036579242,8.32142158689788,5.8636311755981,5.84354441703136,5.98645200528444,5.41164605185504,6.65544035036765,6.45990445437753,7.27170370688737,1.94591014905531,5.8805329864007,6.27664348934164,6.41673228251233,6.82762923450285,5.77144112313002,7.34794382314869,6.53524127101366,6.73101810048208,8.06652149046999,5.92425579741453,6.74641212857337,4.88280192258637,5.48893772615669,5.52942908751142,5.97888576490112,4.80402104473326,6.64639051484773,6.67203294546107,6.22257626807137,7.70345904786717,5.80513496891649,5.8664680569333,5.57972982598622,5.27811465923052,7.28344822875663,7.31455283232408,5.42053499927229,6.00635315960173,6.14418563412565,6.74993119378857,5.50938833662798,5.59471137960184,0,4.71849887129509,3.3322045101752,6.57368016696065,0,6.1463292576689,7.09090982207998,7.65539064482615,6.43294009273918,6.65027904858742,6.30444880242198,7.36581283720947,5.35658627467201,7.25347038268453,6.1246833908942,5.99146454710798,0.693147180559945
"Series2_A549_Mock_2",5.15905529921453,3.85014760171006,5.68017260901707,6.07073772800249,7.64396194900253,1.79175946922805,4.51085950651685,7.31588350450979,5.67675380226828,6.30991827822652,4.86753445045558,9.70637717826873,5.11198778835654,8.42814337458273,3.61091791264422,6.28785856016178,7.25134498337221,5.78382518232974,1.09861228866811,3.29583686600433,5.30330490805908,5.50938833662798,5.29330482472449,5.35185813347607,4.80402104473326,4.96284463025991,6.4377516497364,5.60947179518496,5.94017125272043,5.88332238848828,5.12396397940326,2.30258509299405,7.29776828253138,6.07764224334903,1.6094379124341,4.36944785246702,7.81520706218909,5.17614973257383,5.13579843705026,5.31320597904179,4.9272536851572,5.95583736946483,5.96357934361845,6.74875954749168,1.79175946922805,5.20948615284142,5.63121178182137,5.69035945432406,6.25766758788264,5.14749447681345,6.65801104587075,5.72358510195238,6.3261494731551,7.57660976697304,5.4380793089232,6.05443934626937,4.17438726989564,4.81218435537242,4.91998092582813,5.43372200355424,3.95124371858143,5.98141421125448,6.20859002609663,5.64190707093811,6.98007594056176,5.04985600724954,5.10594547390058,5.05624580534831,4.58496747867057,6.56244409369372,6.74758652682932,4.91265488573605,5.57215403217776,5.55295958492162,6.17378610390194,5.08759633523238,4.97673374242057,0,3.98898404656427,3.17805383034795,6.05443934626937,0,5.51342874616498,6.39359075395063,6.95081476844258,5.84354441703136,5.98393628068719,5.72358510195238,6.73101810048208,4.91265488573605,6.6945620585211,5.4553211153577,5.37989735354046,0
"Series2_A549_Mock_3",5.07517381523383,3.46573590279973,5.46806014113513,5.82894561761021,7.39572160860205,1.09861228866811,4.07753744390572,7.09920174355309,5.35185813347607,6.16331480403464,4.46590811865458,9.36288977043647,4.94875989037817,8.2117543973752,3.3322045101752,5.98645200528444,7.02197642307216,5.14749447681345,0.693147180559945,2.89037175789616,4.88280192258637,5.04985600724954,4.87519732320115,4.94875989037817,4.38202663467388,4.82028156560504,6.0913098820777,5.33271879326537,5.73979291217923,5.59098698051086,4.89034912822175,1.94591014905531,7.04053639021596,5.8636311755981,0,4.06044301054642,7.48324441607385,4.76217393479776,5.01063529409626,4.84418708645859,4.26267987704132,5.78074351579233,5.81413053182507,6.25575004175337,1.38629436111989,5.08759633523238,5.32787616878958,5.52942908751142,5.92692602597041,4.71849887129509,6.37331978957701,5.5683445037611,5.86929691313377,7.23777819192344,5.28826703069454,5.65948221575962,4.06044301054642,4.52178857704904,4.52178857704904,5.28320372873799,3.61091791264422,5.80814248998044,5.91889385427315,5.4510384535657,6.78219205600679,4.69134788222914,4.91265488573605,4.90527477843843,4.31748811353631,6.22851100359118,6.51174532964473,4.68213122712422,5.26785815906333,5.29831736654804,5.7268477475872,4.57471097850338,4.89783979995091,0,3.85014760171006,2.83321334405622,5.59842195899838,0,5.03043792139244,6.16961073249146,6.75925527066369,5.50533153593236,5.72031177660741,5.06259503302697,6.48616078894409,4.34380542185368,6.40357419793482,5.21493575760899,4.78749174278205,0
"Series2_A549_SARS.CoV.2_1",6.14203740558736,4.17438726989564,6.23441072571837,6.73815249459596,8.79920924224139,3.49650756146648,5.2040066870768,8.45276133125685,6.72142570079064,7.24064969425547,5.65599181081985,10.2928910270969,5.54517744447956,9.32616593748177,4.45434729625351,6.95081476844258,7.90691548867859,6.81673588059497,1.94591014905531,4.00733318523247,6.31716468674728,6.29526600143965,6.44094654063292,6.25575004175337,5.90808293816893,5.70711026474888,7.48211892355212,6.57228254269401,7.09754885061479,6.88653164253051,6.01615715969835,3.25809653802148,8.0106915391303,6.75227037614174,1.6094379124341,4.969813299576,8.43185314424922,6.2363695902037,6.33505425149806,6.49828214947643,6.02586597382531,6.91075078796194,6.92362862813843,7.40427911803727,2.39789527279837,6.29156913955832,6.44571981938558,6.35088571671474,7.2034055210831,6.33859407820318,7.78405700263993,6.71295620067707,6.85118492749374,8.30498958014036,6.03068526026126,6.92461239604856,5.01063529409626,5.5683445037611,5.28826703069454,6.04500531403601,4.78749174278205,6.95177216439891,6.95463886488099,6.70073110954781,8.20330402679528,5.88610403145016,6.05443934626937,5.90808293816893,5.51342874616498,7.68753876620163,7.60389796852188,5.88887795833288,6.35957386867238,6.62140565176413,7.17625453201714,5.7037824746562,5.66988092298052,1.09861228866811,4.97673374242057,4.02535169073515,7.0475172213573,0,6.58892647753352,7.53849499941346,7.92334821193015,6.87212810133899,7.06731984865348,6.90975328164481,7.49331724886215,5.86929691313377,7.47760424319759,6.18826412308259,6.40357419793482,1.09861228866811
